2024-05-28	물	450
2024-05-28	커피	500
2024-05-28	이온음료	550
2024-05-28	고급커피	1400
2024-05-28	탄산음료	750
2024-05-28	특화음료	0
2024-06-01	물	450
2024-06-01	커피	500
2024-06-01	이온음료	550
2024-06-01	고급커피	1400
2024-06-01	탄산음료	750
2024-06-01	특화음료	0
2024-06-02	물	900
2024-06-02	커피	1000
2024-06-02	이온음료	0
2024-06-02	고급커피	700
2024-06-02	탄산음료	0
2024-06-02	특화음료	0
2024-06-05	물	38250
2024-06-05	커파	31500
2024-06-05	이온음생	17600
2024-06-05	고급커푸	13300
2024-06-05	탄산음료	19500
2024-06-05	특화음료	30400
2024-06-07	물	3050
2024-06-07	커피	0
2024-06-07	이온음료	0
2024-06-07	고급커푸	700
2024-06-07	탄산음료	3810
2024-06-07	특화음료	1600
2024-06-13	물	0
2024-06-13	커피	1000
2024-06-13	이온음료	570
2024-06-13	고급커푸	700
2024-06-13	탄산음료	10
2024-06-13	특화음료	3918
